Year ,Month,State,County,Unemployment_Rate
2020,June,CA,Bertsch Oceanview CDP,0.284
2020,June,CA,Bethel Island CDP,0.103
2020,June,CA,Beverly Hills city,0.162
2020,June,CA,Big Bear City CDP,0.086
2020,June,CA,Big Bear Lake city,0.055
2020,June,CA,Biggs city,0.072
2020,June,CA,Big Pine CDP,0.142
2020,June,CA,Big River CDP,0.203
2020,June,CA,Biola CDP,0.368
2020,June,CA,Bishop city,0.095
2020,June,CA,Bloomington CDP,0.152
2020,June,CA,Blue Lake city,0.114
2020,June,CA,Bluewater CDP,0.229
2020,June,CA,Blythe city,0.153
2020,June,CA,Bodega Bay CDP,0.084
2020,June,CA,Bodfish CDP,0.186
2020,June,CA,Bonadelle Ranchos Madera Ranchos CDP,0.099
2020,June,CA,Bonita CDP,0.201
2020,June,CA,Bootjack CDP,0.204
2020,June,CA,Boron CDP,0.116
2020,June,CA,Boronda CDP,0.542
2020,June,CA,Bostonia CDP,0.242
2020,June,CA,Boulder Creek CDP,0.159
2020,June,CA,Boyes Hot Springs CDP,0.078
2020,June,CA,Bradbury city,0.068
2020,June,CA,Bradley CDP,0
2020,June,CA,Brawley city,0.21
2020,June,CA,Brea city,0.136
2020,June,CA,Brentwood city,0.136
2020,June,CA,Bret Harte CDP,0.28
2020,June,CA,Brisbane city,0.113
2020,June,CA,Broadmoor CDP,0.199
2020,June,CA,Bucks Lake CDP,0
2020,June,CA,Buellton city,0.051
2020,June,CA,Buena Park city,0.166
2020,June,CA,Burbank city,0.227
2020,June,CA,Burlingame city,0.092
2020,June,CA,Burney CDP,0.119
2020,June,CA,Buttonwillow CDP,0.182
2020,June,CA,Byron CDP,0.233
2020,June,CA,Bystrom CDP,0.157
2020,June,CA,Cabazon CDP,0.125
2020,June,CA,Calabasas city,0.128
2020,June,CA,Calexico city,0.4
2020,June,CA,California City city,0.317
2020,June,CA,Calimesa city,0.146
2020,June,CA,Calipatria city,0.334
2020,June,CA,Calistoga city,0.164
2020,June,CA,Calwa CDP,0.25
2020,June,CA,Camarillo city,0.114
2020,June,CA,Cambria CDP,0.145
2020,June,CA,Cameron Park CDP,0.119
2020,June,CA,Campbell city,0.096
2020,June,CA,Cantua Creek CDP,0.134
2020,June,CA,Canyondam CDP,0.8
2020,June,CA,Canyon Lake city,0.078
2020,June,CA,Capitola city,0.04
2020,June,CA,Carlsbad city,0.127
2020,June,CA,Carmel by the Sea city,0.004
2020,June,CA,Carmel Valley Village CDP,0.208
2020,June,CA,Carmichael CDP,0.135
2020,June,CA,Carpinteria city,0.098
2020,June,CA,Carson city,0.199
2020,June,CA,Cartago CDP,0
2020,June,CA,Caruthers CDP,0.141
2020,June,CA,Casa Conejo CDP,0.191
2020,June,CA,Casa de Oro Mount Helix CDP,0.131
2020,June,CA,Castro Valley CDP,0.124
2020,June,CA,Castroville CDP,0.251
2020,June,CA,Cathedral City city,0.181
2020,June,CA,Cayucos CDP,0.113
2020,June,CA,Ceres city,0.158
2020,June,CA,Cerritos city,0.171
2020,June,CA,Challenge Brownsville CDP,0
2020,June,CA,Channel Islands Beach CDP,0.303
2020,June,CA,Charter Oak CDP,0.229
2020,June,CA,Cherryland CDP,0.225
2020,June,CA,Cherry Valley CDP,0.092
2020,June,CA,Chester CDP,0.115
2020,June,CA,Chico city,0.126
2020,June,CA,Chilcoot Vinton CDP,1
2020,June,CA,China Lake Acres CDP,0.151
2020,June,CA,Chinese Camp CDP,0
2020,June,CA,Chino city,0.143
2020,June,CA,Chino Hills city,0.12
2020,June,CA,Chowchilla city,0.124
2020,June,CA,Chualar CDP,0.16
2020,June,CA,Chula Vista city,0.157
2020,June,CA,Citrus CDP,0.143
2020,June,CA,Citrus Heights city,0.13
2020,June,CA,Claremont city,0.135
2020,June,CA,Clayton city,0.065
2020,June,CA,Clearlake city,0.25
2020,June,CA,Clearlake Oaks CDP,0.193
2020,June,CA,Clio CDP,0
2020,June,CA,Cloverdale city,0.068
2020,June,CA,Clovis city,0.121
2020,June,CA,Clyde CDP,0.102
2020,June,CA,Coachella city,0.205
2020,June,CA,Coalinga city,0.153
2020,June,CA,Cobb CDP,0.098
2020,June,CA,Colfax city,0.165
2020,June,CA,Colton city,0.141
2020,June,CA,Columbia CDP,0.293
2020,June,CA,Colusa city,0.154
2020,June,CA,Commerce city,0.228
2020,June,CA,Compton city,0.222
2020,June,CA,Concord city,0.134
2020,June,CA,Concow CDP,0.241
2020,June,CA,Copperopolis CDP,0.117
2020,June,CA,Corcoran city,0.236
2020,June,CA,Corning city,0.136
2020,June,CA,Corona city,0.127
2020,June,CA,Coronado city,0.105
2020,June,CA,Corralitos CDP,0.118
2020,June,CA,Corte Madera town,0.128
2020,June,CA,Costa Mesa city,0.124
2020,June,CA,Cotati city,0.123
2020,June,CA,Coto de Caza CDP,0.13
2020,June,CA,Cottonwood CDP,0.11
2020,June,CA,Country Club CDP,0.249
2020,June,CA,Covelo CDP,0.149
2020,June,CA,Covina city,0.197
2020,June,CA,Crescent City city,0.104
2020,June,CA,Crescent Mills CDP,0
2020,June,CA,Crestline CDP,0.089
2020,June,CA,C Road CDP,0.19
2020,June,CA,Crockett CDP,0.186
2020,June,CA,Cromberg CDP,0
2020,June,CA,Cudahy city,0.185
2020,June,CA,Culver City city,0.173
2020,June,CA,Cupertino city,0.073
2020,June,CA,Cutler CDP,0.181
2020,June,CA,Cypress city,0.147
